trial,rev_1,rev_5,rev_10,rev_20,rev_30,rev_40,rev_50,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
52,2.2498,10.5015,20.6965,40.9753,61.1535,81.2707,101.3468,1.0000,1.9400,24.1195,27.0582,36.4672,43.2766,49.1040,53.5820,53.9012,1000000.0000
53,2.2497,10.0000,21.0496,41.4748,61.7132,81.8513,101.9338,1.0000,2.0679,4.9583,16.3870,21.6433,35.1929,36.0666,41.7738,51.9298,1000000.0000
54,2.1140,10.4408,20.6984,41.0144,61.2010,81.3122,101.3788,1.0000,7.6198,9.0062,32.9948,35.4638,35.8201,36.6828,40.9231,45.3485,1000000.0000
55,2.0558,10.2580,20.4692,40.7852,60.9995,81.1459,101.2461,1.0000,1.0311,17.6952,22.8760,43.0662,47.4914,49.8530,52.8440,59.4938,1000000.0000
56,2.2415,10.7325,21.0724,41.4598,61.6729,81.7963,101.8683,1.0000,1.6880,5.7199,10.5267,29.5082,35.8703,43.1673,45.9811,59.2536,1000000.0000
57,2.1643,10.6484,21.0071,41.3729,61.5673,81.6939,101.7759,1.0000,5.1600,9.8156,13.8192,14.9395,39.2847,42.7284,52.3057,54.5155,1000000.0000
58,2.0843,10.3764,20.6627,41.0577,61.2978,81.4525,101.5579,1.0000,10.7643,15.7150,33.1120,34.9598,36.0024,42.6002,47.8914,59.3578,1000000.0000
59,2.1820,10.6852,21.0423,41.4008,61.5701,81.6533,101.6953,1.0000,4.4818,8.5382,8.7833,18.3515,20.8445,23.7120,40.0078,58.9444,1000000.0000
60,2.0945,10.4234,20.7320,41.1261,61.3374,81.4674,101.5441,1.0000,9.5623,11.8718,16.1827,34.5645,36.4511,45.9062,46.3339,56.0392,1000000.0000
61,2.0928,10.0000,20.7233,41.1276,61.3629,81.5047,101.5948,1.0000,10.3861,16.0444,24.9126,27.7967,39.7693,44.4491,48.6803,50.2575,1000000.0000
62,2.1622,10.6426,21.0182,41.4049,61.5684,81.6401,101.6732,1.0000,4.9076,11.2577,15.8244,16.2197,22.8131,23.4298,28.3430,45.5819,1000000.0000
63,2.0717,10.3266,20.5837,40.9488,61.1777,81.3222,101.4116,1.0000,13.4978,21.3496,34.0781,35.5605,38.8119,39.5149,40.8154,59.8134,1000000.0000
64,2.1532,10.5423,20.8357,41.2158,61.4547,81.6109,101.7140,1.0000,5.2941,16.5072,29.6001,30.1468,46.1615,48.2376,52.5940,55.6227,1000000.0000
65,2.2256,10.6952,21.0240,41.3870,61.5727,81.6807,101.7507,1.0000,2.9088,3.0746,11.9985,14.9802,19.8662,36.8790,44.8413,48.7776,1000000.0000
